iter	Passed	Remaining
0	2	248
1	4	243
2	7	242
3	9	238
4	12	239
5	15	240
6	18	241
7	20	235
8	22	231
9	25	226
10	27	222
11	29	219
12	32	217
13	35	218
14	37	214
15	40	210
16	42	208
17	45	205
18	47	201
19	49	199
20	52	196
21	55	197
22	58	195
23	61	193
24	63	190
25	66	188
26	68	185
27	71	183
28	73	181
29	76	178
30	78	175
31	81	172
32	83	170
33	86	167
34	88	164
35	91	162
36	94	161
37	97	158
38	99	155
39	102	153
40	104	150
41	107	147
42	110	147
43	114	145
44	117	143
45	120	140
46	122	138
47	126	136
48	129	134
49	132	132
50	134	129
51	137	126
52	139	124
53	142	121
54	144	118
55	147	115
56	150	113
57	153	110
58	156	108
59	158	105
60	161	103
61	163	100
62	166	97
63	169	95
64	171	92
65	173	89
66	176	86
67	178	84
68	181	81
69	183	78
70	186	76
71	189	73
72	191	70
73	193	68
74	196	65
75	198	62
76	200	60
77	203	57
78	205	54
79	208	52
80	211	49
81	213	46
82	216	44
83	218	41
84	221	39
85	224	36
86	226	33
87	229	31
88	231	28
89	234	26
90	236	23
91	238	20
92	241	18
93	243	15
94	246	12
95	249	10
96	252	7
97	254	5
98	256	2
99	259	0
